[2025-12-05T09:45:31.277Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RnswpTWR7bnFK1, PaymentID: undefined, Amount: ₹150733, Verified: true, IP: ::1
[2025-12-05T09:45:52.125Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹5355, Course: 692d64667ce84216adad99f1, OrderID: order_RnsxaCfAML0eBE, TrackingID: TN-1764927952084-128, IP: ::1
[2025-12-05T09:46:11.900Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RnsxaCfAML0eBE, PaymentID: undefined, Amount: ₹150733, Verified: true, IP: ::1
[2025-12-05T09:47:51.502Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹5355, Course: 692d64667ce84216adad99f1, OrderID: order_RnszgUw0mMdyce, TrackingID: TN-1764928071457-2, IP: ::1
[2025-12-05T09:50:59.565Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RnszgUw0mMdyce, PaymentID: undefined, Amount: ₹150733, Verified: true, IP: ::1
[2025-12-05T09:56:21.339Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1507.39, Course: 6932a8969311470342b955c2, OrderID: order_Rnt8f1cyBtE01y, TrackingID: TN-1764928581300-811, IP: ::1
[2025-12-05T10:53:18.734Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1507.39, Course: 6932b619ca14a6257f32aabd, OrderID: order_Rnu6pFUfFcbhbG, TrackingID: TN-1764931998680-404, IP: ::1
[2025-12-05T11:07:02.516Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1507.33, Course: 6932b619ca14a6257f32aabd, OrderID: order_RnuLKSCZcZ9fix, TrackingID: TN-1764932822466-415, IP: ::1
[2025-12-05T11:22:28.781Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1507.39, Course: 6932b619ca14a6257f32aabd, OrderID: order_RnubdFoljFJLTq, TrackingID: TN-1764933748732-25, IP: ::1
[2025-12-05T12:21:30.088Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1507.39, Course: 6932b619ca14a6257f32aabd, OrderID: order_Rnvbz1lyRSW6iU, TrackingID: TN-1764937290032-911, IP: ::1
